"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K2";"HEADER_MALE_6X1";1;"HEADER_MALE_6X1";;;
2;"R2";"0603R";1;"120R";;;
3;",,,,,,,,,,,,,,,";"buzzardLabel";16;"";;;
4;"R4,R1";"0603R";2;"20k";;;
5;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
6;"JP2";"SMD_JUMPER_CONNECTED";1;"SMD-JUMPER-CONNECTED";;;
7;"R3";"0402R";1;"2k2";;;
8;"K1";"TERMINAL_KF235-5.0-3P";1;"TERMINAL_KF235-5.0-3P";;;
9;"U1";"SOIC-8-SWB";1;"SN65176BDR";;;
10;"D1";"0402LED";1;"purple";;;
11;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
12;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
13;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
14;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
15;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
16;"C1";"1206C";1;"10u";;;
17;"C2";"0603C";1;"1u";;;
18;"Ref**";"Version1.0.0.";1;"Val**";;;
